delta_longi,sst,atms,u10,v10
0,-62.977,35.966,-3.5,-3.75
0.6,-70.11,44.082,-3.5,-3.75
-0.7,-89.734,59.251,-3.5,-3.75
0.7,-97.91,70.759,-3.5,-3.75
-0.8,-133.341,32.574,-3.25,-3.5
0,-134.431,25.773,-3.25,-3.5
0,-103.906,81.744,-3.25,-3.5
-0.1,-102.816,98.483,-3.25,-3.5
-0.1,-112.626,96.275,-3.25,-3.5
0,-97.103,52.519,-3.25,-3.5
0,-99.977,55.475,-3.25,-3.5
0,-117.801,73.806,-3.25,-3.5
-0.1,-145.4,101.006,-3.25,-3.5
0.1,-141.375,138.849,-3.25,-3.5
-0.2,-137.926,137.667,-3.25,-3.5
0,-195.023,178.418,-3,-3.25
-0.2,-238.613,197.819,-3,-3.25
0,-122.009,135.621,-3,-3.25
0,-126.368,135.621,-3,-3.25
-0.2,-144.349,117.361,-3,-3.25
0,-131.166,103.155,-3,-3.25
-0.4,-140.47,109.483,-3,-3.25
0,-92.571,76.204,-3,-3.25
0,-102.143,86.204,-3,-3.25
-0.2,-127.267,107.205,-3,-3.25
-0.1,-133.249,25.201,-2.75,-3
0,-116.499,14.201,-2.75,-3
-0.1,-140.427,17.201,-3,-3.25
0.4,-110.517,92.204,-2.75,-3
-0.5,-117.849,99.539,-2.75,-3
-0.1,-144.688,125.797,-2.75,-3
-0.1,-132.657,87.603,-2.75,-3
0,-78.053,32.7,-2.75,-3
0.7,-70.649,25.538,-2.75,-3
-0.9,-54.916,76.861,-2.75,-3
97.9,-58.618,93.571,-2.75,-3
-98,-74.709,115.374,-2.75,-3
-0.1,-85.106,116.782,-2.75,-3
0,-91.505,99.876,-2.5,-2.75
0.1,-88.306,98.468,-2.5,-2.75
-0.2,-57.114,63.951,-2.5,-2.75
-0.1,-72.31,67.473,-2.5,-2.75
-0.1,-85.106,78.039,-2.5,-2.75
-0.1,-61.202,54.872,-2.5,-2.75
-0.2,-83.672,74.485,-2.5,-2.75
0,-48.618,-15.082,-2.25,-2.5
0.7,-62.999,-9.852,-2.25,-2.5
-0.9,-58.505,43.758,-2.25,-2.5
98.9,-62.101,52.257,-2.25,-2.5
-99,-73.953,34.039,-2.25,-2.5
0,-50.339,20.081,-2.25,-2.5
-0.2,-65.098,19.26,-2.25,-2.5
0,-85.76,20.081,-2,-2.25
-0.1,-103.471,51.28,-2,-2.25
0,-68.049,121.891,-2,-2.25
0.3,-41.483,101.364,-2,-2.25
-0.4,-40.583,84.977,-2,-2.25
-0.1,-47.291,69.298,-2,-2.25
0,-61.378,37.94,-2,-2.25
-0.1,-62.72,45.78,-2,-2.25
0,-54.67,61.458,-2,-2.25
-0.2,-51.987,55.579,-2,-2.25
0,-65.223,46.246,-1.75,-2
0,-68.784,59.129,-1.75,-2
-0.2,-64.035,59.935,-1.75,-2
0,-44.74,42.655,-1.5,-1.75
-0.1,-39.973,33.09,-1.5,-1.75
